model,scenario,runs,distance_km,hop_count,p50_latency_ms,p95_latency_ms,p99_latency_ms,cvar99_latency_ms,sla_breach_rate,p50_decision_latency_ms,p95_decision_latency_ms,p99_decision_latency_ms,cvar99_decision_latency_ms
"Baseline.Fiber","DFW-NYC",3000,5000,12,26.800000,26.800000,26.800000,26.800000,0.000000,26.800000,26.800000,26.800000,26.800000
"Baseline.Internet","DFW-NYC",3000,5000,12,40.199165,42.650369,43.690391,44.132961,1.000000,50.597494,57.951108,61.071172,62.398883
"Baseline.LEOPath","DFW-NYC",3000,5000,12,31.166667,39.166667,39.166667,39.166667,0.120000,31.166667,47.500000,47.500000,47.500000
"LEOQ.PolicyRouter.lambda=1","DFW-NYC",3000,5000,12,31.166667,39.166667,42.366667,42.366667,0.150000,31.166667,47.500000,57.100000,57.100000
"LEOQ.PolicyRouter.lambda=2","DFW-NYC",3000,5000,12,33.166667,36.366667,41.166667,42.233333,0.165333,33.166667,39.100000,53.500000,56.700000
"LEOQ.PolicyRouter.lambda=3","DFW-NYC",3000,5000,12,33.166667,36.366667,41.166667,42.233333,0.165333,33.166667,39.100000,53.500000,56.700000
"LEOQ.PolicyRouter.lambda=5","DFW-NYC",3000,5000,12,33.166667,36.366667,41.166667,42.233333,0.165333,33.166667,39.100000,53.500000,56.700000
"LEOQ.PolicyRouter.lambda=8","DFW-NYC",3000,5000,12,33.166667,36.366667,41.166667,42.233333,0.165333,33.166667,39.100000,53.500000,56.700000
"Baseline.Fiber","DFW-NYC",3000,8000,12,41.800000,41.800000,41.800000,41.800000,1.000000,55.400000,55.400000,55.400000,55.400000
"Baseline.Internet","DFW-NYC",3000,8000,12,55.199165,57.650369,58.690391,59.132961,1.000000,95.597494,102.951108,106.071172,107.398883
"Baseline.LEOPath","DFW-NYC",3000,8000,12,41.666667,49.666667,49.666667,49.666667,1.000000,55.000000,79.000000,79.000000,79.000000
"LEOQ.PolicyRouter.lambda=1","DFW-NYC",3000,8000,12,41.666667,49.666667,52.866667,52.866667,1.000000,55.000000,79.000000,88.600000,88.600000
"LEOQ.PolicyRouter.lambda=2","DFW-NYC",3000,8000,12,43.666667,46.866667,51.666667,52.733333,1.000000,61.000000,70.600000,85.000000,88.200000
"LEOQ.PolicyRouter.lambda=3","DFW-NYC",3000,8000,12,43.666667,46.866667,51.666667,52.733333,1.000000,61.000000,70.600000,85.000000,88.200000
"LEOQ.PolicyRouter.lambda=5","DFW-NYC",3000,8000,12,43.666667,46.866667,51.666667,52.733333,1.000000,61.000000,70.600000,85.000000,88.200000
"LEOQ.PolicyRouter.lambda=8","DFW-NYC",3000,8000,12,43.666667,46.866667,51.666667,52.733333,1.000000,61.000000,70.600000,85.000000,88.200000
