model,scenario,runs,distance_km,hop_count,p50_latency_ms,p95_latency_ms,p99_latency_ms
"Baseline.Fiber","Sweep",2000,500,12,4.300000,4.300000,4.300000
"Baseline.Internet","Sweep",2000,500,12,17.698716,20.143999,21.163521
"Baseline.LEOPath","Sweep",2000,500,12,15.416667,23.416667,23.416667
"LEOQ.PolicyRouter","Sweep",2000,500,12,17.416667,20.616667,25.416667
"Baseline.Fiber","Sweep",2000,1000,12,6.800000,6.800000,6.800000
"Baseline.Internet","Sweep",2000,1000,12,20.198716,22.643999,23.663521
"Baseline.LEOPath","Sweep",2000,1000,12,17.166667,25.166667,25.166667
"LEOQ.PolicyRouter","Sweep",2000,1000,12,19.166667,22.366667,27.166667
"Baseline.Fiber","Sweep",2000,2200,12,12.800000,12.800000,12.800000
"Baseline.Internet","Sweep",2000,2200,12,26.198716,28.643999,29.663521
"Baseline.LEOPath","Sweep",2000,2200,12,21.366667,29.366667,29.366667
"LEOQ.PolicyRouter","Sweep",2000,2200,12,23.366667,26.566667,31.366667
"Baseline.Fiber","Sweep",2000,5000,12,26.800000,26.800000,26.800000
"Baseline.Internet","Sweep",2000,5000,12,40.198716,42.643999,43.663521
"Baseline.LEOPath","Sweep",2000,5000,12,31.166667,39.166667,39.166667
"LEOQ.PolicyRouter","Sweep",2000,5000,12,33.166667,36.366667,41.166667
"Baseline.Fiber","Sweep",2000,8000,12,41.800000,41.800000,41.800000
"Baseline.Internet","Sweep",2000,8000,12,55.198716,57.643999,58.663521
"Baseline.LEOPath","Sweep",2000,8000,12,41.666667,49.666667,49.666667
"LEOQ.PolicyRouter","Sweep",2000,8000,12,43.666667,46.866667,51.666667
